finding_id,finding_type,current_path,symbol,owner_issue,message,resolution_status,exception_id
ARCH-FINDING-0001,function_naming,R/Functions/Modelling/Cross_validation/adapt_cross_validation_assignments.R,adapt_cross_validation_assignments,#141,Review leading verb `adapt` against version 1.,excepted,ARCH-141-001
ARCH-FINDING-0002,function_naming,R/Functions/Modelling/Cross_validation/assemble_sjsdm_cached_selected_folds.R,assemble_sjsdm_cached_selected_folds,#141,Review leading verb `assemble` against version 1.,excepted,ARCH-141-002
ARCH-FINDING-0003,function_naming,R/Functions/Modelling/Cross_validation/assess_cross_validation_feasibility.R,assess_cross_validation_feasibility,#141,Review leading verb `assess` against version 1.,excepted,ARCH-141-003
ARCH-FINDING-0004,function_naming,R/Functions/Modelling/Cross_validation/assess_sjsdm_candidate_guardrails.R,assess_sjsdm_candidate_guardrails,#141,Review leading verb `assess` against version 1.,excepted,ARCH-141-004
ARCH-FINDING-0005,function_naming,R/Functions/Modelling/Cross_validation/assess_sjsdm_scientific_performance.R,assess_sjsdm_scientific_performance,#141,Review leading verb `assess` against version 1.,excepted,ARCH-141-005
ARCH-FINDING-0006,function_naming,R/Functions/Modelling/Cross_validation/assess_sjsdm_staged_benchmark.R,assess_sjsdm_staged_benchmark,#141,Review leading verb `assess` against version 1.,excepted,ARCH-141-006
ARCH-FINDING-0007,function_naming,R/Functions/Modelling/Cross_validation/assess_sjsdm_taxon_eligibility.R,assess_sjsdm_taxon_eligibility,#141,Review leading verb `assess` against version 1.,excepted,ARCH-141-007
ARCH-FINDING-0008,function_naming,R/Functions/Modelling/Cross_validation/assess_spatial_mev_paired_benchmark.R,assess_spatial_mev_paired_benchmark,#141,Review leading verb `assess` against version 1.,excepted,ARCH-141-008
ARCH-FINDING-0009,function_naming,R/Functions/Modelling/Cross_validation/calibrate_cross_validation_grid_from_resolution.R,calibrate_cross_validation_grid_from_resolution,#141,Review leading verb `calibrate` against version 1.,excepted,ARCH-141-009
ARCH-FINDING-0010,function_naming,R/Functions/Modelling/Cross_validation/calibrate_cross_validation_grid_size.R,calibrate_cross_validation_grid_size,#141,Review leading verb `calibrate` against version 1.,excepted,ARCH-141-010
ARCH-FINDING-0011,function_naming,R/Functions/Modelling/Cross_validation/collect_sjsdm_available_tier_decisions.R,collect_sjsdm_available_tier_decisions,#141,Review leading verb `collect` against version 1.,excepted,ARCH-141-011
ARCH-FINDING-0012,function_naming,R/Functions/Modelling/Cross_validation/collect_sjsdm_tuning_summaries.R,collect_sjsdm_tuning_summaries,#141,Review leading verb `collect` against version 1.,excepted,ARCH-141-012
ARCH-FINDING-0013,function_naming,R/Functions/Modelling/Cross_validation/collect_sjsdm_tuning_timings.R,collect_sjsdm_tuning_timings,#141,Review leading verb `collect` against version 1.,excepted,ARCH-141-013
ARCH-FINDING-0014,function_naming,R/Functions/Modelling/Cross_validation/combine_sjsdm_tuning_work_items.R,combine_sjsdm_tuning_work_items,#141,Review leading verb `combine` against version 1.,excepted,ARCH-141-014
ARCH-FINDING-0015,function_naming,R/Functions/Modelling/Cross_validation/compare_sjsdm_decomposition_fold_metrics.R,compare_sjsdm_decomposition_fold_metrics,#141,Review leading verb `compare` against version 1.,excepted,ARCH-141-015
ARCH-FINDING-0016,function_naming,R/Functions/Modelling/Cross_validation/configure_sjsdm_predictor_structure.R,configure_sjsdm_predictor_structure,#141,Review leading verb `configure` against version 1.,excepted,ARCH-141-016
ARCH-FINDING-0017,function_naming,R/Functions/Modelling/Cross_validation/get_sjsdm_staged_benchmark_policy.R,get_sjsdm_staged_benchmark_policy,#141,Review leading verb `get` against version 1.,excepted,ARCH-141-017
ARCH-FINDING-0018,function_naming,R/Functions/Modelling/Cross_validation/make_cross_validation_assignments_from_resolution.R,make_cross_validation_assignments_from_resolution,#141,Review leading verb `make` against version 1.,excepted,ARCH-141-018
ARCH-FINDING-0019,function_naming,R/Functions/Modelling/Cross_validation/make_cross_validation_branch_assignments.R,make_cross_validation_branch_assignments,#141,Review leading verb `make` against version 1.,excepted,ARCH-141-019
ARCH-FINDING-0020,function_naming,R/Functions/Modelling/Cross_validation/make_cross_validation_grid_candidates.R,make_cross_validation_grid_candidates,#141,Review leading verb `make` against version 1.,excepted,ARCH-141-020
ARCH-FINDING-0021,function_naming,R/Functions/Modelling/Cross_validation/make_cross_validation_grid_candidates_from_resolution.R,make_cross_validation_grid_candidates_from_resolution,#141,Review leading verb `make` against version 1.,excepted,ARCH-141-021
ARCH-FINDING-0022,function_naming,R/Functions/Modelling/Cross_validation/make_cross_validation_location_table.R,make_cross_validation_location_table,#141,Review leading verb `make` against version 1.,excepted,ARCH-141-022
ARCH-FINDING-0023,function_naming,R/Functions/Modelling/Cross_validation/make_cross_validation_partition_diagnostics.R,make_cross_validation_partition_diagnostics,#141,Review leading verb `make` against version 1.,excepted,ARCH-141-023
ARCH-FINDING-0024,function_naming,R/Functions/Modelling/Cross_validation/make_leave_one_location_out_assignments.R,make_leave_one_location_out_assignments,#141,Review leading verb `make` against version 1.,excepted,ARCH-141-024
ARCH-FINDING-0025,function_naming,R/Functions/Modelling/Cross_validation/make_sjsdm_empty_selected_fold_artifacts.R,make_sjsdm_empty_selected_fold_artifacts,#141,Review leading verb `make` against version 1.,excepted,ARCH-141-025
ARCH-FINDING-0026,function_naming,R/Functions/Modelling/Cross_validation/make_sjsdm_regularization_candidates.R,make_sjsdm_regularization_candidates,#141,Review leading verb `make` against version 1.,excepted,ARCH-141-026
ARCH-FINDING-0027,function_naming,R/Functions/Modelling/Cross_validation/make_sjsdm_structured_regularization_candidates.R,make_sjsdm_structured_regularization_candidates,#141,Review leading verb `make` against version 1.,excepted,ARCH-141-027
ARCH-FINDING-0028,function_naming,R/Functions/Modelling/Cross_validation/make_sjsdm_tuning_branch_work_items.R,make_sjsdm_tuning_branch_work_items,#141,Review leading verb `make` against version 1.,excepted,ARCH-141-028
ARCH-FINDING-0029,function_naming,R/Functions/Modelling/Cross_validation/make_sjsdm_tuning_fold_context.R,make_sjsdm_tuning_fold_context,#141,Review leading verb `make` against version 1.,excepted,ARCH-141-029
